Id,SalePrice
2658,139912.96577084082
2718,192018.106196402
2414,197914.6887642915
1989,115363.36376407312
625,173304.40618693864
333,97191.64680777545
1327,116048.17107103685
858,143964.05492385774
95,194346.4349178531
1568,176178.790246202
2482,170762.42641980236
1364,136212.0195338211
2584,161514.50042799115
818,310973.57559432904
2673,164218.86580565557
2089,171346.12174924425
1297,161473.29059168915
790,120666.29098900284
2616,218803.03631740456
720,186409.13665019802
222,159253.08163569713
557,116008.0189381953
1148,210535.24004232473
2766,148938.35181804406
534,187392.1720429719
1452,112501.83720846726
630,144695.57737252754
2648,125657.07208919324
125,149616.125100206
1904,56059.38484271156
1670,98951.82198844638
756,95175.11781529455
717,211518.7154432146
1032,153196.19033808616
852,231296.02664743995
1731,169711.24209448675
2639,140489.0565934294
2071,88154.27474801103
1267,118042.95822458639
1851,199749.35702337668
567,152623.58113262584
2439,231998.90200081345
1898,142348.20347224153
647,160182.61939748185
2256,219424.41771972826
979,118589.23321243052
1444,215068.93899974754
2485,117069.45720039231
157,120727.67475778167
88,121358.32904660443
2003,112242.70481768606
186,204626.59406880225
1425,268861.45499436057
2695,123016.59514575204
738,101604.90292377718
395,147697.634036464
1353,178112.68367754683
1878,154784.90527242937
390,175601.03232542882
1456,232450.7140412259
1103,293399.1491161041
1387,118660.07893827639
2070,150464.1398521061
1199,168849.19836209624
2479,168161.13367824553
501,305123.4544989981
2362,92426.41743648802
1718,213946.53022270888
2188,71959.60148184282
1483,150191.07964865933
2557,80206.33329045636
437,373752.23564526445
2224,185023.67277905706
1628,199606.96074249962
397,125128.1045052408
587,192464.68075080405
2182,460877.0648015136
971,176298.00476137229
2611,159522.120165457
1887,104081.31270773048
2399,337723.8401884682
2148,230461.0813399747
304,116586.38487718742
1997,130269.88277619462
2817,108155.68566266642
1431,176153.9828015398
427,347507.62312370946
263,113194.89959483067
598,164108.5179906151
2895,268615.40524669876
687,156407.51074387273
1822,125472.25314196046
2191,107571.35297004326
179,138687.76322470856
1009,227579.903060371
2010,115163.6432775961
1991,147898.04104636202
1411,160568.59915095678
1721,290017.9553752339
1144,171107.84345649433
593,204346.28416969685
575,272351.18418696075
1249,197357.10488729016
1604,133622.77735198126
1064,437552.7597000887
1923,179200.66231702414
1988,109404.87936986485
2325,181013.74888116
114,208860.84173386515
2700,186031.82378241624
217,142897.0395225216
343,179297.34195400777
386,252780.93173790612
2005,132891.28394695767
2908,145660.6955624745
1814,235158.2807303894
2446,427769.4013324757
208,150095.56145361916
1679,113654.3570270636
822,304779.980026473
6,198023.85588471466
1781,334599.63166446
2397,293007.491626204
2340,295548.81089701713
1618,160149.48004713657
2843,132814.7457236381
1061,346638.1980018229
2786,113899.16023815899
1935,126251.47564170085
1341,106997.0688624043
521,285807.10735355
2136,139099.21824126583
996,212579.76867898752
227,146727.14648226232
135,166867.12448298308
1167,159621.93914161736
294,205545.66958923967
1776,213261.60652853127
540,173448.85465813245
1717,213946.53022270888
2303,124756.50807871757
116,175995.62497225803
127,139787.58806456398
1371,133396.20562130405
1014,176280.41565307853
1507,112161.25230529797
702,136879.22528306016
750,150338.71973080674
261,142096.61087411817
1559,69703.64293292165
577,219315.76292532237
2812,193613.38839559018
